,Title,Abstract
217,Exploring the need to mean : a multimodal analysis of a child's use of semiotic resources in the mediation of symbolic meanings,None
218,The use of silence by Japanese learners of English in cross-cultural communication and its pedagogical implications,"This thesis examinest he use of silence by Japanese learners of English in cross-cultural communication. It also considers how cross-cultural misunderstandings can be avoided in a pedagogic context. To this end, an analysis is made of a contrastive study of the use of silence by Japanese students learning English, and by Western students learning Japanese. The study draws on insights from the ethnographic approach. The study consists of three parts. The first part, Chapters 1-4, investigates the theoretical\ud
background to the study. Chapter 1 examines various definitions of the word 'culture' and investigates the role of Pragmatics in cross-cultural communication. Chapter 2 surveys studies of silence in various socio-cultural contexts. Chapter 3 more specifically explores the use of silence in the Japanese context and its relation to Japanese\ud
cultural values and sociocultural norms. Then, Chapter 4 shifts attention to examine differences of communicative styles between Japanese and Westerners, and several important features in interaction.\ud
In part two, Chapters 5-8, the ethnographic approach takes the lead in the interpretation of the interview and observational material. Chapter 5 offers an overview of the study and carefully considers the principles of ethnography guiding this investigation. Chapter 6 considers the research design in relation to the context and purposes of the investigation. The data is analysed in Chapters 7 and 8 interpreting the use of silence from a socio-cultural perspective.\ud
Chapter 7 discusses the results of the questionnaires. Chapter 8 concentrates on the analysis of the video-recorded data. The last Chapter, Chapter 9, concludes with suggestions of possible pedagogic approaches tackling cross-cultural misunderstanding in foreign language learning"
219,The history of women's studies as an academic subject area in higher education in the UK : 1970-1995,None
220,"Parental participation, positioning and pedagogy : a sociological study of the IMPACT primary school mathematics project",None
221,"Globalization, curriculum and international student communities : a case study of the United World College of the Atlantic","This thesis explores micro-level effects of globalization in the domain of education.\ud
Specifically, it seeks a deeper understanding of the dynamics between international\ud
education and human attitudes and behaviour in the context of an international student\ud
community. The research is based on a case study of the United World College of the\ud
Atlantic - an international pre-university college in Wales, which has a demonstrable\ud
commitment to international education.\ud
The central research proposition can be stated as follows:\ud
Curricular and pedagogical interventions which aim to:\ud
(i) transmit a vision of an interdependent global society;\ud
(ii) promote an ethic of service;\ud
(iii) preserve cultural heritage; and\ud
(iv) promote international understanding\ud
are effective tools for the development of globally oriented, participatory student\ud
communities.\ud
The research indicates that a number of curricular and pedagogical interventions which\ud
pertain to (i) - (iv) above, hold potential for the development of globally oriented,\ud
participatory student communities. The findings suggest that:\ud
• The concept of 'vision' is multifaceted requiring analysis in four dimensions: an\ud
idealistic vision; a vision of the current world situation; a vision of the Atlantic\ud
College community; and a vision of human potential.\ud
• Interventions associated with service-learning appear to stimulate development in\ud
four areas: character building, skill formation, social relations and international\ud
understanding.\ud
• Values education - bearing on the preservation of cultural heritage and the\ud
promotion of international understanding - is transmitted through a 'pedagogy of philosophical inquiry' and reflects a relativist epistemological position. Such an\ud
approach to values education poses dilemmas in a pluralist community.\ud
The concept of citizenship - at local, national and international levels - is an\ud
underlying theme.\ud
The working definition of international education adopted in this thesis is stated thus:\ud
International education is a transformative discourse which locates all fields of enquiry\ud
in a supranational frame of reference and upholds the cause of peace.\ud
Key words: globalization, curriculum, international student communities, United\ud
World College of the Atlantic, international education, values education, citizenship\ud
education, pedagogy"
222,Teacher formative assessment : influences and practice case study research at the year one level,"This case study research investigated the formative assessment practices of four Year One teachers in one local education authority, and the influences which have shaped their skills. School-level contextual factors such as\ud
the role of colleagues, the head teacher, and experience in the classroom were investigated through interview and questionnaire. External influences on teacher\ud
practice, most specifically the influence of the National Curriculum and its assessment requirements, were also examined. The findings identified experience in the classroom and colleagues as key sources of influence on practice.\ud
The study reviewed the current understanding of formative\ud
assessment from social-constructivist perspective on learning. Research has illustrated specific elements of formative assessment practice, including the development of learning goals, communicating criteria, feedback, and the role of discourse. In this research, questioning emerged as a vital formative assessment skill. Underpinning the practice of the teachers who demonstrated the widest\ud
range of strategies were three key features. These teachers were reflective about their own daily practice, and demonstrated a problem-solving approach to teaching and learning. Lastly, they had established a collegial relationship of shared power in which pupil and teacher thinking processes and ideas could be expressed and exchanged. \ud
Theory has pointed to formative assessment as a teacher practice embedded in planning, teaching and assessing. Case study data were analysed to describe the practices of the teachers and to understand the ways in which formative assessment strategies might be linked together. A model of integrated practice is developed from the analysis, useful for teacher development and further research"
223,Evidence as a resource of control and resistance in 'advanced liberal' health systems : the case of HIV prevention in the UK,None
224,Values and the curriculum : economics and business education at different stages in the development of young people,"This thesis presents an account of curriculum initiatives in the related fields of\ud
economics and business education between the years 1982 to 1998. These\ud
developments are placed in the context of a national curriculum for schools in\ud
England and Wales, rapid changes in the post-16 education and training environment\ud
and alterations in working practices brought about by the information and\ud
communication revolution.\ud
The work employs a pluralist methodology based on fitness for purpose. Thus, the\ud
national scene largely relies on documentary sources, whilst the case studies are\ud
examined through the use of interviews and questionnaires as well as secondary data.\ud
In one example the author is a participant observer. The central theme is the\ud
relationship between business education curricula and values: the account of\ud
curriculum developments are subject to analysis both of the values that have\ud
underpinned or guided their contents and the contribution that their configurations of\ud
business education can make to values education. It introduces the notion of\ud
'congruence' in curriculum development, a term used to describe the interface between\ud
curriculum, values and the development of young people.\ud
The thesis is in the most part an original contribution to the study of curriculum and\ud
curriculum development. In identifying the key concept, 'values', and analysing the\ud
degree of 'congruence' achieved by curriculum developers, the thesis is able to\ud
contribute to the literature on values education and the development of young people.\ud
In particular, the final chapter shows the potential of business education to promote in\ud
young people an understanding that values underpin and help to explain the workings\ud
of the economic world.\ud
The main conclusions are two-fold. First, that value positions underpin curriculum\ud
developments but that they are not always made explicit, even in subjects dealing with\ud
business and economic systems. Second, that business education curricula need to\ud
demonstrate more overtly their role in encouraging the critique of values alongside\ud
more fact based enquiry. The research shows that development of young people is\ud
only considered as a by-product of other aims and objectives, which results in a\ud
missed opportunity. The holistic perspective examining the intellectual and emotional\ud
needs of a 'complete' student and what this means at various stages of the educational\ud
process (from 14 years-old), is rarely considered when curriculum change is\ud
contemplated"
225,"Learning strategies and materials selection in the English for tourism classroom : a study of learning strategies employed by learners in the British context, with consideration of implications for published materials selection","There are two enquiries undertaken in this work which is an investigation of\ud
learning strategies employed by students of English for Tourism in the British\ud
context, and an evaluation of textbooks already used for teaching this programme\ud
in Taiwan and relevant ones published in the United Kingdom. It is hoped that this\ud
work will have direct implications for pedagogy and learning processes of the\ud
English for Tourism programme in the Taiwanese context.\ud
This thesis is made up of four parts. The first part is Chapter 1 which investigates\ud
general broad backgrounds in the Taiwanese context. It also deals with the debate\ud
on the improvement of English language teaching in this context. It further\ud
discusses how this context relates to this work.\ud
The second part includes Chapters 2, 3, and 4, offering the theoretical framework\ud
on which an empirical research and a desk-based study of textbooks are based.\ud
Chapter 2 primarily examines the features of English for Tourism by taking account\ud
of the general key issues of ESP relevant to needs analysis, content and language,\ud
and methodology, and the specific crucial issues in relation to the target situation\ud
in the tourism industry, tourism education and training, and cultural content. It\ud
further postulates that communicative language teaching and learning strategies\ud
are closely relevant to the efficiency of ESP teaching. These are defined and\ud
explored in depth in Chapters 3 and 4 respectively.\ud
The third part consists of an empirical research and a desk-based study (Chapters\ud
5, 6, 7, 8 and 9). Chapter 5 discusses research methodology indicating that a\ud
qualitative approach has been preferred to a quantitative approach. The empirical\ud
research will be based on participant observations (Chapter 6) and semi-structured\ud
interviews (Chapter 7). It will be followed by a desk-based study of textbooks\ud
(Chapter 9). Chapters 6 and 7 are mainly descriptive. Chapter 8 interprets the\ud
major findings of this empirical research, discusses the issues they raise and goes\ud
on to suggest improvements to the pedagogy and learning processes in the\ud
Taiwanese context. It indicates that social strategies and social interaction bothinside and outside the classroom are the most significant factors for learning\ud
processes. It suggests furthermore that a combination model of notional-functional\ud
and task-based approaches is essential for the effective English for Tourism\ud
syllabuses and methodologies in the Taiwanese context. Chapter 9 is a desk-based\ud
study of textbooks to evaluate and select appropriate and useful textbook for\ud
teaching English for Tourism in the Taiwanese context.\ud
The final part is Chapter 10. This chapter reviews the principal themes in the\ud
preceding chapters, and offers principles of approach which guide the teaching and\ud
learning of English for Tourism in the Taiwanese context"
226,Investigating lexical acquisition patterns : context and cognition,None
227,English language teacher education in Bangladesh : towards an alternative paradigm,None
228,"An examination of the links between the pedagogical culture of primary schools, school effectiveness and school improvement","This study examines the proposition that values and beliefs about teaching and\ud
learning are of critical importance in determining pupil outcomes. Using a sample of\ud
teaching staff from 32 primary schools, I attempt to identify these beliefs and their links\ud
with school effectiveness and school improvement. School effectiveness is measured in\ud
terms of pupil progress on Suffolk Reading Tests taken at 6+ and 8+ from 1994-6. Data\ud
about pedagogical values and beliefs were collected using interviews, questionnaires and\ud
Ofsted reports. An outlier framework was used to analyse effectiveness and\ud
improvement, and to determine if either was associated with a pedagogical culture based\ud
upon the ideology of progressivism which the work of Plowden and Piaget supposedly\ud
spawned during the early 1970s. It has been argued that this ideology still continues to\ud
influence primary practice and has been largely responsible for a perceived decline in\ud
standards of literacy.\ud
The results of this study suggest that differences in pedagogical culture between\ud
outlier groups are not nearly as wide ranging as some critics of primary practice suggest.\ud
However, although the differences may be few, they may still explain the apparent\ud
divergence in effectiveness since they appear to relate to pedagogical goals, methods,\ud
and certain leadership strategies. Differences between schools in which the rate of pupil\ud
progress improved substantially between 1994-6 and those in which it declined,\ud
appeared even less marked.\ud
This study also explores the challenges involved in linking research into school\ud
effectiveness with school improvement, and suggests that the lack of synergy between\ud
the two, particularly in the sphere of teaching and learning, can be partly transcended\ud
through the concept of pedagogical culture which is common to both fields of enquiry.\ud
The study concludes by positing a model that uses pedagogical culture to link both the\ud
school effectiveness and school improvement paradigms"
229,The relationship between teachers and government in curriculum development in Korea and England,"This thesis examines teachers' perceptions of the relationship between teachers and\ud
government in the field of curriculum development, in the light of changes in the mode of\ud
curriculum control under which teachers carry out their work in Korea and England. In\ud
both countries, major recent legislation has brought about fundamental revisions of the\ud
curriculum. In Korea, the 1992 sixth National Curriculum declared a decentralization of\ud
curriculum development, ostensibly attempting to decrease government control over\ud
teachers. In England, the 1988 Education Act imposed a national curriculum: this\ud
represented an increase in government control over teachers.\ud
The thesis begins with a review of theoretical work relating to modes of curriculum control\ud
and professionalism. It then offers accounts of the historical and cultural context of\ud
curriculum development and professionalism in Korea and England, providing overviews\ud
of curriculum development, teacher education relating to curriculum development,\ud
teachers' organizations, hierarchies in society and schools, gender differences in the\ud
teaching profession, inspection of teachers, and teachers' relations with parents.\ud
A central issue for the thesis is the idea of teachers' professionalism in relation to\ud
government intervention in curriculum development. It is the main assumption of the study\ud
that teachers' professionalism in the field of curriculum control can be best analysed\ud
through an examination of the context in which it is embedded. Thus, this thesis involves\ud
empirical studies of structured samples of six primary schools in Korea and nine primary\ud
schools in England; questionnaires, interviews and case studies were administered in both\ud
countries. These investigations focus on comparing the teachers' perceptions of curriculum\ud
&-YQlppment. and professionalism in their different cultural contexts. Comparison serves\ud
to improve contextual understanding of teachers' professionalism within two different\ud
trends: centralization and decentralization.\ud
Examination of the empirical data reveals both similarities and differences between\ud
different teachers within each country, and also between teachers in the two countries.\ud
Overall, Korean teachers feel that they have only a restricted role in implementing the new\ud
curriculum in their own classroom, despite the recent change which introduced some\ud
decentralization in curriculum policy.. Compared with this situation in Korea, despite\ud
governmental intervention in curriculum development the majority of English teachers may\ud
be characterized as still having an autonomous role in implementing the curriculum.\ud
Although there were different orientations and degrees of control among both groups of\ud
teachers, the belief in the desirability of teacher control of the curriculum has been a\ud
dominant perspective with widespread acceptance in the two countries.\ud
This thesis supports the view that teachers' professionalism is shaped by social, political,\ud
educational and institutional cultures in a very complicated fashion, and cannot be\ud
expected to change quickly or easily. It also demonstrates that teachers' professionalism\ud
cannot be conceptualized simply in terms of movement along the continuum between\ud
centralization and decentralization. The thesis argues that teachers' professionalism in\ud
relation to government intervention is affected much more by-what teachers think, which\ud
is shaped in their own cultural contexts, than by the nature of the change itself as defined\ud
by the legislation/Accordingly, it suggests that the strategies for enhancing teachers'\ud
professionalism in relation to curriculum development should be considered with reference\ud
to the cultural contexts within which they are practised"
230,The introduction of educational technology into elementary schools in Cyprus : a critical analysis of the implementation of an innovation,None
231,School health education and issues of going to scale : with special reference to the child-to-child approach in Zambia,None
232,Transfiguring fantasy : spiritual development in the work of George MacDonald,"This study addresses two questions. What light does the work of George MacDonald shed\ud
on the concept of 'spiritual development' and what is the pedagogical function of his\ud
fantasy? The thesis is largely concerned to clarify these conceptual issues but the reason for\ud
raising them is practical. The promotion of spiritual development in schools is a statutory\ud
requirement. The conclusions of this thesis contain implications for curricular strategies for\ud
meeting that requirement and attention will be drawn to them.\ud
Two major claims are made. The first concerns the issue of whether a coherent spirituality\ud
necessarily depends on - and thus must be promoted within - a religious framework. The\ud
implication of MacDonald's recourse to fantasy, a discourse dispensing with traditional\ud
religious categories, to explore the theme of spiritual development is that a spiritual\ud
pedagogy does not need to be rooted in traditional religious concepts and truth-claims. The\ud
two discourses, the 'theistic' and the 'non-theistic', are compatible and complementary.\ud
Secondly, the concept of 'transfiguring fantasy' is introduced and commended.\ud
MacDonald's transfiguring fantasy functions pedagogically, as potentially does all such\ud
unclosed flmtasy, by calling in question the distinction between the narrative one reads and\ud
one's own life-story. The two realms, those of the text in one's hands and the life one is\ud
leading, elide and the task of resolving the enigmas of the fantasy becomes one with the\ud
unfinished business of making sense of one's own story.\ud
This thesis also considers the familiar Romantic themes of nature, childhood and the\ud
imagination, which MacDonald treats with original insight. Nature is akin to fantasy in its\ud
capacity to engage and direct the attentive spirit. Childhood is the pattern of what we must\ud
become. The imagination's role is to summon us to press beyond the borders of what may\ud
be scientifically proven or rationally articulated.\u"
233,Significance in history : students' ideas in England and Spain,None
234,A comparison of English and Chinese written discourse and its implications for teaching,"This thesis sets out to compare paragraph progressIOn of\ud
English and Chinese expository writing in order to verify the\ud
validity of Kaplan's claim that Chinese essays are organised\ud
differently from English ones.\ud
Different from most existing work, this project uses\ud
quantitative data analysis methods with samples selected at\ud
random in order to make the results more objective and\ud
persuasIve. Based on Kaplan's concept of the discourse bloc,\ud
each sample passage is segregated into a number of functional\ud
meamng units. The second step is to determine the relationship\ud
between each unit and the theme of the passage they appear in\ud
by using the list of relation definitions devised by Mann and\ud
Thompson as part of their Rhetorical Structure Theory.\ud
This project aims to achieve two goals. One, from a more\ud
practical angle, is to conduct a contrastive study of Chinese and\ud
English at rhetorical level so as to improve the teaching and\ud
learning of Chinese by English speakers. The other is to carry\ud
out an experiment on the application of Rhetorical Structure\ud
Theory at discourse level.\ud
The results have shown no existence of ""illogical""\ud
information in Chinese writing as observed by Kaplan. The\ud
conclusion is that Chinese and English expository writing, as\ud
represented by the samples selected from newspaper editorials,\ud
are organised in very similar ways.\u"
235,"The development of moral, social and citizenship education in the context of the ethos and the curriculum of Greek primary schools : five case studies",None
236,The relationship between university autonomy and funding in England and Taiwan,None
237,Accessing education : a feminist post/structuralist ethnography of widening educational participation.\ud,"This thesis represents a small-scale ethnography of access education. Using methods of auto/biography, I study the field of access education through students' life stories, spoken narratives and diary entries, while writing myself and aspects of my own auto/biography into the research. My analytical approach is framed by feminist post/structural theories, drawing on analytical tools such as deconstruction and discourse analysis and conceptual tools including power, collaboration through praxis, reflexivity, subjectivity and experience. The thesis focuses on a group of students returning to learning through various 'access courses' available at their local FE College within the context of burgeoning national policy on widening educational participation. In examining the competing discourses within the field of access education, it reveals the hidden dynamics in which access students are re/positioned in complex, contradictory and multiple ways. The research examines the implications of educational participation for access students and explores the effectiveness of interactive and collaborative approaches to the research and education of marginalised groups. The ethnography situates students and researcher as co-participants. Placing mature students' representations of educational experiences at the centre of knowledge production, the thesis argues that we must understand the backgrounds, interests and experiences of the particular social groups that policy seeks to target. I argue for the revitalisation of lively discussions about pedagogy within access education rooted in reflexive praxis that are committed to a politics of difference and to anticlassist, anti(hetero )sexist and antiracist practices. New forms of access practices that are inclusive and responsive to fluidity and context are presented through the insights of co-participants"
238,Between the chalkface and the ivory towers? : a study of the professionalism of teacher educators working on primary initial teacher education courses in the English university sector,None
239,"5th and 8th grade pupils' and teachers' perceptions of the relationships between teaching methods, classroom ethos and positive affective attitudes towards learning mathematics in Japan",None
240,'Undergraduates' expectations of economic and other benefits of higher education : a case study of Hong Kong,"Hong Kong started a major expansion of its higher education\ud
system in 1989. By 1996, in less than a decade, the student enrolment\ud
rate had reached 18% of the relevant age group. Was there a\ud
justification for further expansion?\ud
This thesis investigates the issue of the demand for higher\ud
education from the perspective of the students during the 1 990s, a\ud
period of drastic political change and difficult economic conditions. It\ud
was an interesting time to explore students' perceptions of economic\ud
and other benefits of university education. The assumption was that if\ud
students possess positive views of returns from higher education, even\ud
in critical periods, their motive for investing in higher education is at\ud
least partly instrumental.\ud
The findings of the study reveal that students were realistic and\ud
informed about the future graduate labour market. They were aware of\ud
the financial hardships incurred from the increase in their own share of\ud
the cost of higher education, the intensifying competition in the future\ud
graduate labour market resulting from education expansion, the\ud
possible impact the political changes and the economic downturn after\ud
1997 might have on their future career conditions. Many foresaw and\ud
were ready to accept diminishing immediate economic returns upon\ud
graduation. Yet most of them still maintained a positive view of long\ud
term earnings and career development. Most of them understood that\ud
their investment in higher education was a prerequisite for a better\ud
future both in economic terms and in terms of life long personal\ud
development. All in all, the findings of this study provide evidence to\ud
support the instrumentalists' idea, not to exclude the academicians'\ud
though, an individual perceives participating in higher education as\ud
making investment for his/her future pecuniary returns and/or other\ud
benefits"
241,Television realism : a semiotic approach,"This thesis reconceptualises the concept of realism in relation to television using\ud
a semiotic approach. The Thesis proposes that ""realism"" may be used as a tool\ud
for the understanding of the place of television texts in the legitimation and\ud
representation of social relations.\ud
The theoretical approach is based on semiotic work that foregrounds the social\ud
constitution of meaning; particularly the work of Barthes on myth, Bakhtin, Kress\ud
and Volosinov. From film studies, Bordwell and Nichols are also used. The\ud
concepts drawn from their work are applied to a reformulation of realism in direct\ud
reference to the signifiers of television texts. Realism is considered in the light of\ud
these theories as not one specific form but as a property of all texts: of how a\ud
represented ""world"" is constructed and understood in social life.\ud
The study focuses on a small number of the totality of semiotic resources that\ud
contribute to the construction of realism in television: camera movement, camera\ud
stability and camera position, shot duration and continuity. It provides a detailed\ud
transcription and analysis of a number of television texts from different theme\ud
areas: the news, police drama and documentary and a game/quiz show.\ud
I propose in this thesis that the use of semiotic resources in different ways in\ud
different texts produces distinct realisms that in their represented ""world"" express\ud
certain values and interests in respect of wider social relations of power.Television texts are therefore the product of changing social environments and\ud
the resources used in their production represent this"
242,The role of social and cultural capital in choice making for post secondary school destinations : the case of contemporary Cyprus,"This study investigates the choices that students coming from different social\ud
backgrounds and from the full range of secondary schools in Cyprus make regarding\ud
their post school destinations. It is based on a theory, which regards the family as a\ud
central agency in the reproduction of inequalities. This study argues that apart from\ud
making the most of their financial capital, Cypriot families utillse intentionally or in\ud
an unintended manner the non-monetary capitals they may have available such as\ud
their cultural capital and more importantly their social capital to produce social\ud
'profits' for the education of their offspring. Social capital is seen as a major factor\ud
that can explain the unequal pattern of educational choices made by the growing\ud
ranks of students coming from -different social origins regarding their post school\ud
destinations. Different families adopt various strategies to cope with the lack of that\ud
resource and it appears that some families have more options to consider than others.\ud
The differential ability to cope with the lack of social capital constitutes a source of\ud
social differentiation. The mobilisation of various resources is examined in a social\ud
environment whereby for the past three or four decades went through a process of\ud
modermsation. This rapid transition has led to the co-existence of traditional and\ud
modernist perspectives of how social relations and gender issues are perceived.\ud
Adherence to one or another perspective affects the strategies that families employ\ud
for their children's educational prospects.\ud
This research used a multiple or mixed method approach combining quantitative and\ud
qualitative methodologies in a complimentary manner. A stratified sample of 404\ud
students graduating from all kinds of secondary schools and their parents completed\ud
questionnaires. A selected sample of 24 parents was interviewed. The findings of the\ud
study indicate that choice making varies across social class and is influenced by\ud
gender. Of the non-monetary resources investigated social capital appears to act as a\ud
hidden mechanism of social selection in modem Cyprus particularly because it\ud
allows for the creation of a certain habitus that allows some privileged families and\ud
students mostly from middle class backgrounds to make far reaching and daring\ud
decisions which offer them the possibility for social success in a competitive and\ud
4close' labour market whereas at the same time it makes others from lower social\ud
class backgrounds to make 'pragmatic' choices which often mean making\ud
compromises in their ambitions to achieve social success"
243,Vygotsky and its critics : philosophy and rationality,None
244,The impact of age of entry to school on boys' reading attitudes and skills during Key Stage One,"British children enter school earlier than their European counterparts. According to\ud
statutory guidelines they must commence school in the term following their fifth\ud
birthday. In reality Local Education Authority policy has fostered a trend towards\ud
earlier admission, with most children in school at four or four and a half. Research\ud
suggests that this disadvantages boys who may be unready for formal literacy\ud
instruction and in particular summer-born boys, the youngest cohort in the year group.\ud
This longitudinal study explores the effect of age of entry to school on boys' reading\ud
development, focussing on attitudes as well as achievement. Adopting both\ud
quantitative and qualitative methodologies the study examined this development\ud
within a sample of 60, summer-born boys as they moved through Key Stage One. The\ud
boys were drawn randomly from 18 schools within six Local Education Authorities\ud
operating different admissions policies. Comparisons were drawn between 31 boys\ud
with part-time Nursery education before Year One, and 29 with full-time Reception\ud
class experience. Collection of data commenced in 1998, so that the National Literacy\ud
Strategy governed the sample's school literacy experiences in Years One and Two.\ud
Data was collected from the boys and their parents on three occasions: before entry to\ud
Year One, at the end of Year One and the end of Year Two. The study illustrates the\ud
impact of commencing school on boys' reading attitudes both directly and through the\ud
triadic relationship established between school, parents and children. It traces the\ud
development of boys' reading attitudes over time as the sample's experiences became\ud
more uniform and analyses the long-term impact of early entry into school. Contrary\ud
to parental belief as examined through parental interview and questionnaires, boys\ud
who commenced school earlier were not advantaged in terms of reading achievement.\ud
The data suggest that an early start to school was accompanied by heightened adult\ud
expectations (both parents' and teachers'), of which the boys became keenly aware.\ud
This affected the boys' attitudes toward reading and their reading routines, often\ud
acting detrimentally on their reading development. The study examines the\ud
implications of these findings for school admission policies"
245,Teaching literature to Greek adult learners : an integrated approach making use of reader response theory and discourse analysis for the English foreign language classroom,"The thesis is making use of a well-known literary theory and discourse\ud
analysis, so as to introduce literature to Greek adult learners of English as a\ud
foreign language who are preparing for the Cambridge Proficiency\ud
Examination in English as a Foreign Language. Chapter one introduces the\ud
thesis problem and the questions arising from it. Chapter two presents the\ud
learning situation in Greece at this advanced level and deals with linguistic\ud
theory and syllabus design. In chapter three, four of the most important literary\ud
theories are presented, including reader response theory, which is adopted\ud
here as the most appropriate mode in EFL teaching. Chapter four makes an\ud
attempt to integrate reader response theory and discourse analysis so as to\ud
present literary texts to Greek adult learners of English of an advanced level\ud
with the aim of emphasizing the advantages offered by such an integration. A\ud
literature course design is presented in chapter five, which, it is claimed, can\ud
be incorporated as a supplementary course in the general language syllabus;\ud
the texts introduced are approached from two main viewpoints, an analysis of\ud
their discourse and an emphasis on the reader, as advocated by reader\ud
response theory. Chapter six introduces a small-scale research based on the\ud
piece of curriculum development in the previous chapter, with 25 students from\ud
the University of Piraeus treated as 'focus students ', while in the next chapter\ud
the findings are discussed and placed against the background of the course\ud
design and the objectives identified. Such issues as external validity, reliability\ud
and extending the course are dealt with in the last chapter, where a discussion\ud
is held in the form of reflections about the findings. Finally, in the conclusion,\ud
proposals are made for the importance of including literature in the foreign\ud
language classroom and the approach that should be adopted"
246,An evaluation of United World Colleges,"This evaluation of United World Colleges (lIWC) explored the relationships hctween\ud
the mm'ement""s aims and the processes and outcomes of learning in the colkges. The\ud
purpose of the evaluation was to estahlish how cflective the colleges were in meeting\ud
their aims and the factors that defined their enectivcness.\ud
The research focused on the perspectives of UWC students. graduates and staff in eight\ud
of the nine l UWCs internationally. Semi-structured intervie\\s provided the main\ud
source of evidence in the first phase of data collection. supplemented hy student\ud
journals. informal observations and documentary evidence. The second phase of data\ud
collection comprised a large-scale postal questionnaire or UWC students to check the\ud
validity of initial tindings amongst a larger sampk.\ud
The evaluation established that lJWCs \vere effective in meeting their aims. especially\ud
in relation to citizenship education. Ilmvever. \vhile it \vas apparent that the Cormal\ud
curriculum was an important and orten underestimated Jactor or inlluellce. it became\ud
clear that inf(xmal learning experiences were more inf1uential. These experiences \\eIT\ud
related to the way in which individuals interacted with day-to-day activities and vvith\ud
one another and henee much of vvhat could he understood about the cfkctiveness of\ud
UWCs appeared to he rooted in how the colleges functioned as communities.\ud
By exploring the cultural norms that governed communal behaviour. it was possible to\ud
identify certain values and beliefs shared within and between UWCs. These \alues and\ud
beliefs could be traced back to the movement's founding principles and appeared to be\ud
the essence or its culture. providing the learning experiences encountered ill its\ud
colleges vvith meaning and potency"
247,Modern languages : which identities? which selves?,"Academic identities in modem languages in the British higher education system may be\ud
understood as an interaction between three domains: the institutional, the epistemological\ud
and the ontological.\ud
This model, initially developed at the beginning stages of the research, was refined\ud
through subsequent field work. It comprised both the ways in which respondents\ud
construct the institutions and disciplinary field in which they operate (which I call, in\ud
tum, institutional and field identities) and the sense of the self that academics create by\ud
positioning themselves within institutional and field structures and discourses in relation\ud
to their personal histories, values and beliefs.\ud
Staff of the languages departments of three English universities were interviewed in the\ud
process of data collection. The outcome is a pattern which reflects the complex interplay\ud
between institutional identities, field identities and selves. It is through the interaction\ud
between identities and selves that the academic identity is built in each of the universities\ud
perused.\ud
Using concepts taken from constructivist-realism, the personal dimension emerges as\ud
paramount in two senses. Firstly, it represents the lens through which the institutional and\ud
field domains are both understood and constructed by the respondents. Secondly, it offers\ud
a heuristic research device that assists in capturing the kind of personal and professional\ud
self individual academics develop as they position themselves within institutional and\ud
field discourses, and identify (or not) with some of these.\ud
It emerges that the more institutional structures are stable, yet supple enough to\ud
accommodate academics' values, the more academics' selves acquire a creative force that\ud
benefits, ultimately, both the institution and the disciplinary field at large"
248,"Forming post-compulsory subject choices in school : a longitudinal study of changes in secondary school students' ideas, with particular reference to choice about science","The research in this thesis examined the basis of young people's decision making. A longitudinal study involving periodic interviews addressed questions about how changes in secondary school students' ideas led to decisions about elective education by individuals in mid-adolescence, particularly with reference to science. \ud
Analysis of interview data captured changes in students' ideas over time and a new way of looking at post- 16 choice was developed that gives a more indepth picture of how students' ideas are formed than has hitherto been achieved. The ways in which students' educational objectives were driven by different ideas and the ways in which students engaged with influences on decisionmaking were used to develop a typology of choice trajectories. The typology unearths variations in the temporal characteristics of young people's thinking about choice. \ud
Five types of choice trajectory were identified. Students with a 'directed' trajectory had a demonstrably stable commitment to a specific career direction inspired by a critical influence at an early age. The 'partially resolved' trajectory was that of a student with identifiable vocational leanings prompted by positive dispositions towards some school subjects and related careers. The 'funnelling identifier' trajectory was shaped by a gradual identification with a domain of interest whereas that of 'multiple projection' was characterised by favouring different careers at different times. The student with a 'precipitating' trajectory lacked critical influences, had diffuse ideas and aimed for broad and versatile choices. Application of the typology to four portraits of students who chose science demonstrated that science was chosen in a variety of ways. \ud
In conclusion, the thesis raises issues for discussion about the impact of choice support mechanisms in schools, particularly in relation to careers guidance and within science teaching. \u"
249,A multimodal framework for computer mediated learning : the reshaping of curriculum knowledge and learning,None
250,From jazz to jazz in education : an investigation of tensions between player and educator definitions of jazz,None
